2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 21:46:41 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 21:46:41 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 21:49:30 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 21:49:30 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 21:54:15 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 21:54:15 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 21:55:56 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 21:55:56 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 21:56:55 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 21:56:55 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:08:34 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:08:35 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:12:58 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
